Team name,Games played,Total make %,aarosh's secret formula,avg offensive rebound,avg make %,turnovers per game,OBR%,FTR%,free throw make%
north texas mean green,27,8.246733256,0.3841370808,12.2962963,0.305434565,14.44444444,46.48148148,0.3390044108,0.6672862454
tennessee lady volunteers,31,9.23757147,0.3830106009,16.32258065,0.2979861765,17.19354839,47.25806452,0.3120243531,0.6406504065
ohio state buckeyes,29,10.41180171,0.3804565712,9.689655172,0.359027645,13.4137931,53.48275862,0.2745633188,0.731610338
middle tennessee blue raiders,30,9.697013673,0.3797739927,10.73333333,0.3232337891,13.03333333,49.56666667,0.2166943062,0.7474489796
michigan wolverines,27,8.77150766,0.3775762094,12.85185185,0.3248706541,15.85185185,45.48148148,0.3453968254,0.7518382353
colorado buffaloes,30,9.111723817,0.3764449523,12.13333333,0.3037241272,14.33333333,45.46666667,0.3078703704,0.6823308271
alabama crimson tide,29,9.289795472,0.3735828836,12.06896552,0.3203377749,15.06896552,47.34482759,0.3279164248,0.7061946903
michigan state spartans,29,9.501041559,0.3715558825,11.72413793,0.3276221227,14.89655172,47.06896552,0.3014662757,0.7276264591
indiana hoosiers,30,9.96662854,0.3713323507,9.433333333,0.3322209513,13.06666667,49.66666667,0.3107727016,0.7495462795
virginia tech hokies,32,11.08907358,0.3709021952,9.03125,0.3465335493,12.875,47.3125,0.2828618968,0.7588235294
montana lady griz,30,9.362650279,0.3680047568,11.1,0.3120883426,14.03333333,47.03333333,0.3038990826,0.7264150943
ucf knights,27,8.053031892,0.3667882882,13.74074074,0.2982604404,15.7037037,42,0.2890365449,0.7126436782
notre dame fighting irish,30,9.786961026,0.3664163236,12.3,0.3262320342,15.13333333,51.16666667,0.2379201681,0.7130242826
marquette golden eagles,31,9.437090031,0.3649079408,13.38709677,0.3044222591,15.32258065,47.29032258,0.2312599681,0.691954023
mercer bears,16,5.656072527,0.3644669182,8.9375,0.353504533,12.9375,49.6875,0.2473347548,0.7068965517
memphis tigers,27,7.938737513,0.3640848221,13.7037037,0.2940273153,15.92592593,43.2962963,0.3300844704,0.7106299213
georgia lady bulldogs,28,8.650478028,0.3559015165,13.53571429,0.3089456439,16.10714286,49.07142857,0.2452937821,0.7372093023
idaho state bengals,30,9.267123029,0.3555101084,11.8,0.308904101,14.26666667,50.23333333,0.1945190758,0.7430939227
georgia tech yellow jackets,31,9.263510562,0.3536873512,11.29032258,0.2988229213,13.96774194,45.51612903,0.2515616127,0.6613995485
stephen f austin ladyjacks,29,9.701022653,0.3520005895,11.48275862,0.3345180225,15.93103448,48.44827586,0.3291139241,0.701048951
ut arlington mavericks,27,7.919812436,0.3518616548,10.74074074,0.2933263865,14.11111111,49.44444444,0.3470769231,0.695035461
washington state cougars,29,8.890900712,0.3507601565,11.17241379,0.3065827832,13.89655172,47.20689655,0.2037802717,0.715942029
louisiana tech lady techsters,32,10.01161921,0.3497204593,10.15625,0.3128631002,14.1875,46.625,0.3357182168,0.7606557377
houston cougars,31,8.859224066,0.3496420224,13.51612903,0.2857814215,15.61290323,47.70967742,0.2634351949,0.652
southern miss lady eagles,30,9.006451859,0.3467342116,13.56666667,0.300215062,16.66666667,45.66666667,0.3061339336,0.6727941176
youngstown state penguins,29,9.244664175,0.346329484,10.4137931,0.3187815233,14.37931034,46,0.2885085575,0.718220339
green bay phoenix,26,8.032416521,0.3449318225,10.34615385,0.3089390969,13.61538462,46.80769231,0.2247644684,0.7844311377
iu indianapolis jaguars,28,10.02142116,0.3446510663,10.75,0.3579078987,15.71428571,45.71428571,0.2523719165,0.7443609023
illinois state redbirds,31,10.19828548,0.342383256,8.548387097,0.3289769511,13.38709677,44.48387097,0.3309002433,0.7591911765
hawaii rainbow wahine,29,9.20494073,0.3363522029,10.34482759,0.3174117493,15.4137931,42.82758621,0.3787289235,0.7054794521
oral roberts golden eagles,31,8.904673578,0.3359182457,11.03225806,0.2872475348,14.83870968,47.64516129,0.3474436504,0.7325949367
kansas state wildcats,31,9.177883451,0.3357739272,9.903225806,0.2960607565,13.61290323,49.38709677,0.2801958651,0.7553398058
new mexico lobos,30,10.47275659,0.3353385118,8.766666667,0.3490918864,13.6,53.5,0.2248394004,0.7547619048
ball state cardinals,31,10.30919625,0.3333990369,9.096774194,0.3325547178,13.70967742,51.64516129,0.2432288901,0.7052401747
charlotte 49ers,31,8.954889794,0.3330543784,10.96774194,0.2888674127,14.77419355,46.41935484,0.323777403,0.7256944444
se louisiana lady lions,25,7.045482139,0.3322772718,11.88,0.2818192856,15.12,45.28,0.2946116165,0.6342042755
akron zips,28,8.913352692,0.3297086476,10.21428571,0.3183340247,14.92857143,47.78571429,0.2924876847,0.6947368421
western kentucky lady toppers,29,9.107121626,0.3294396535,13.79310345,0.3140386768,18.62068966,46.37931034,0.3426934097,0.6538461538
iowa hawkeyes,30,11.00552519,0.328055012,8.733333333,0.3668508397,14.86666667,52.7,0.2935431362,0.8410351201
florida state seminoles,28,8.955199233,0.3259750561,10.71428571,0.319828544,15.57142857,46.46428571,0.2841973766,0.7032967033
purdue boilermakers,28,8.999697669,0.3249412644,10.46428571,0.3214177739,15.07142857,50.17857143,0.2385159011,0.7555555556
long beach state beach,27,7.725222157,0.3221123527,9.62962963,0.2861193391,13.59259259,47.81481481,0.2740167634,0.7011764706
little rock trojans,27,7.870628412,0.3213890592,12,0.291504756,15.66666667,46.85185185,0.2397734424,0.6640419948
missouri tigers,30,10.48787135,0.3203999549,8.833333333,0.3495957117,14.73333333,47.46666667,0.2776791001,0.7313432836
florida gators,31,9.286941639,0.3162802328,12.35483871,0.2995787625,16.80645161,49.64516129,0.2705515088,0.7365384615
texas state bobcats,28,8.856025218,0.3100820034,11.35714286,0.3162866149,16.96428571,47.67857143,0.2915910466,0.6887966805
drake bulldogs,30,10.30710022,0.3078480269,11.03333333,0.3435700073,17.66666667,48.53333333,0.2837157247,0.7376725838
elon phoenix,29,8.809331967,0.3060218483,11.62068966,0.3037700678,16.93103448,44.27586207,0.2850092535,0.7424242424
oklahoma sooners,32,10.89582942,0.3049774445,11.8125,0.3404946693,18.8125,54.28125,0.3096926714,0.7633587786
miami hurricanes,31,9.265892125,0.3011200646,11.5483871,0.298899746,16.64516129,45.5483871,0.2491525424,0.6916099773
kansas jayhawks,29,9.599258035,0.2980720033,10.03448276,0.3310088977,17.34482759,48.17241379,0.3595971564,0.7545304778
western michigan broncos,30,9.261519147,0.2861293339,8.566666667,0.3087173049,15.06666667,48.73333333,0.290866783,0.684
alabama state lady hornets,29,8.235166758,0.2844760616,14.13793103,0.2839712675,20.44827586,44.86206897,0.3424897721,0.6928327645
uc davis aggies,27,8.703550257,0.2816164186,9.259259259,0.3223537132,16.18518519,44.62962963,0.2542955326,0.7027027027
